epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.929,2.87097,4.40548,1.78194,0.16746,0.13884,0.07469,0.02221,2.60459,28.1839,1.55941,0.000664564,0.000664564,0.000664564
2,293.544,2.87248,3.03398,1.84673,0.11359,0.05228,0.02677,0.00677,2.62016,8.83451,1.65944,0.00130487,0.00130487,0.00130487
3,416.393,2.87019,2.81859,1.81294,0.18973,0.14236,0.09443,0.02362,2.48647,15.0827,1.53132,0.00191878,0.00191878,0.00191878
4,536.327,2.84611,2.78029,1.82501,0.21901,0.17223,0.11626,0.0344,2.35138,3.9911,1.54197,0.0018812,0.0018812,0.0018812
5,660.657,2.8064,2.66105,1.81626,0.20323,0.18447,0.10187,0.0291,2.35201,8.75905,1.50671,0.0018416,0.0018416,0.0018416
6,782.954,2.71607,2.57368,1.75157,0.24426,0.20207,0.13559,0.04072,2.31049,4.45051,1.4457,0.001802,0.001802,0.001802
7,911.909,2.70746,2.53543,1.73523,0.30628,0.17882,0.15518,0.04648,2.24176,3.45615,1.44184,0.0017624,0.0017624,0.0017624
8,1036.86,2.64958,2.42375,1.68547,0.2614,0.22364,0.15425,0.04688,2.2752,4.90822,1.44256,0.0017228,0.0017228,0.0017228
9,1162.19,2.61784,2.43334,1.71164,0.30432,0.24966,0.19296,0.05767,2.20313,7.06079,1.40419,0.0016832,0.0016832,0.0016832
10,1282.91,2.56694,2.33666,1.67244,0.28871,0.2254,0.17894,0.05595,2.24853,5.16979,1.44796,0.0016436,0.0016436,0.0016436
11,1403.01,2.5576,2.30472,1.6392,0.33996,0.27592,0.21121,0.06323,2.25074,5.60709,1.42341,0.001604,0.001604,0.001604
12,1523.72,2.52329,2.24215,1.64488,0.30067,0.26274,0.20071,0.06049,2.19676,4.72449,1.40918,0.0015644,0.0015644,0.0015644
13,1645.65,2.47125,2.19201,1.61629,0.36465,0.25967,0.21276,0.06468,2.19434,4.88207,1.42846,0.0015248,0.0015248,0.0015248
14,1765.7,2.47846,2.21558,1.61433,0.31535,0.27768,0.21897,0.06764,2.17547,3.13211,1.38035,0.0014852,0.0014852,0.0014852
15,1885.37,2.45892,2.14341,1.5916,0.37501,0.28735,0.25107,0.07902,2.11541,3.93474,1.36516,0.0014456,0.0014456,0.0014456
16,2007.82,2.42558,2.09345,1.58054,0.33254,0.28032,0.22404,0.07101,2.21269,4.09144,1.39825,0.001406,0.001406,0.001406
17,2132.74,2.43145,2.0848,1.57218,0.37979,0.29921,0.24588,0.07695,2.15241,2.99708,1.36441,0.0013664,0.0013664,0.0013664
18,2267.25,2.38681,2.03243,1.5466,0.34786,0.30272,0.2383,0.07659,2.14091,4.02821,1.36965,0.0013268,0.0013268,0.0013268
19,2638.68,2.3776,2.00535,1.53582,0.37766,0.28295,0.26011,0.08324,2.16483,3.5899,1.36342,0.0012872,0.0012872,0.0012872
20,2956.17,2.36059,1.96179,1.52235,0.45097,0.32162,0.28897,0.09584,2.16558,3.57954,1.37791,0.0012476,0.0012476,0.0012476
21,3266.16,2.33824,1.9315,1.52233,0.42,0.33656,0.29275,0.09707,2.14102,3.2265,1.34918,0.001208,0.001208,0.001208
22,3560.88,2.33392,1.94968,1.51695,0.40322,0.34227,0.30118,0.09764,2.16331,3.57304,1.37007,0.0011684,0.0011684,0.0011684
23,3840.22,2.30423,1.90844,1.50303,0.40195,0.32631,0.30262,0.10491,2.15266,3.32937,1.33312,0.0011288,0.0011288,0.0011288
24,4125.03,2.27892,1.87492,1.50927,0.40061,0.33216,0.28053,0.09329,2.17534,3.27862,1.37643,0.0010892,0.0010892,0.0010892
25,4395.87,2.26522,1.84377,1.47658,0.49015,0.35237,0.3305,0.10921,2.05456,2.87345,1.3116,0.0010496,0.0010496,0.0010496
26,4695.4,2.23739,1.81918,1.46859,0.44989,0.36072,0.33631,0.1093,2.10688,2.82353,1.33584,0.00101,0.00101,0.00101
27,4987.17,2.24323,1.82571,1.47851,0.44912,0.3638,0.33121,0.11186,2.13045,3.27109,1.35652,0.0009704,0.0009704,0.0009704
28,5270.4,2.20459,1.76264,1.44229,0.46772,0.33666,0.32918,0.11308,2.11986,3.15685,1.34138,0.0009308,0.0009308,0.0009308
29,5554.59,2.20569,1.7601,1.44253,0.48264,0.38137,0.35254,0.11931,2.12887,3.39233,1.34079,0.0008912,0.0008912,0.0008912
30,5853.69,2.18413,1.74091,1.44099,0.48872,0.36819,0.35189,0.1221,2.09073,3.16492,1.32267,0.0008516,0.0008516,0.0008516
31,6138.27,2.17183,1.69889,1.42641,0.45196,0.39024,0.35173,0.11851,2.09162,2.77312,1.31947,0.000812,0.000812,0.000812
