epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11841.2,2.13917,1.717,1.42216,0.51855,0.41213,0.3863,0.13545,2.02155,2.8354,1.25936,0.0005941,0.0005941,0.0005941
43,11985.6,2.14118,1.69236,1.40572,0.53934,0.42027,0.38424,0.13834,1.97948,2.70428,1.25968,0.0005842,0.0005842,0.0005842
44,12129,2.09834,1.6336,1.39199,0.50442,0.38752,0.37677,0.13237,2.05368,3.50274,1.29637,0.0005743,0.0005743,0.0005743
45,12276.5,2.12297,1.6736,1.4079,0.48948,0.43673,0.39061,0.14323,1.97988,3.41606,1.26873,0.0005644,0.0005644,0.0005644
46,12411.1,2.08374,1.65015,1.38586,0.53319,0.39851,0.38588,0.14109,2.00058,3.47863,1.26841,0.0005545,0.0005545,0.0005545
47,12541.2,2.08095,1.62834,1.37662,0.46874,0.41673,0.35082,0.12765,2.01281,2.87439,1.27966,0.0005446,0.0005446,0.0005446
48,12671.6,2.06717,1.59516,1.36218,0.5138,0.41369,0.39527,0.14383,2.0459,3.19281,1.27978,0.0005347,0.0005347,0.0005347
49,12800.4,2.05712,1.59354,1.37047,0.53627,0.39327,0.38185,0.13926,2.05418,2.83742,1.31158,0.0005248,0.0005248,0.0005248
50,12929.5,2.04339,1.58775,1.37001,0.54334,0.41476,0.38066,0.14025,2.01352,2.59813,1.27063,0.0005149,0.0005149,0.0005149
51,13058,2.03986,1.56808,1.36738,0.50445,0.43497,0.39083,0.14178,1.99288,2.54983,1.27234,0.000505,0.000505,0.000505
52,13187.6,2.01965,1.54512,1.34945,0.54154,0.42142,0.35932,0.13118,2.00721,2.68056,1.28497,0.0004951,0.0004951,0.0004951
53,13317.7,2.01683,1.53227,1.3508,0.55342,0.41696,0.39256,0.14766,1.98469,3.05937,1.27323,0.0004852,0.0004852,0.0004852
54,13447.4,2.03456,1.52257,1.35112,0.52463,0.45562,0.41713,0.15359,2.01927,2.62811,1.27922,0.0004753,0.0004753,0.0004753
55,13576.1,2.0012,1.49739,1.3458,0.53014,0.43453,0.40918,0.15856,1.9871,2.40737,1.25411,0.0004654,0.0004654,0.0004654
56,13706.9,1.98707,1.50512,1.335,0.54978,0.42355,0.41495,0.16055,1.97608,2.55686,1.26761,0.0004555,0.0004555,0.0004555
57,13836.6,1.98527,1.49638,1.33569,0.52555,0.44332,0.41773,0.16191,1.98199,2.8546,1.27176,0.0004456,0.0004456,0.0004456
58,13967.6,1.98178,1.47133,1.3205,0.54435,0.43829,0.41915,0.15973,1.94669,2.8872,1.26126,0.0004357,0.0004357,0.0004357
59,14096.4,1.96004,1.46052,1.31553,0.56349,0.43981,0.4308,0.16384,1.98189,2.73949,1.25947,0.0004258,0.0004258,0.0004258
60,14227.3,1.96538,1.47972,1.3131,0.58838,0.43014,0.44855,0.16875,1.97622,2.88202,1.26244,0.0004159,0.0004159,0.0004159
61,14356.7,1.96431,1.44913,1.30782,0.56388,0.43572,0.4401,0.16747,1.97844,2.86782,1.253,0.000406,0.000406,0.000406
62,14486.6,1.93058,1.43502,1.29285,0.54112,0.45914,0.42087,0.16389,1.95052,2.65513,1.24413,0.0003961,0.0003961,0.0003961
63,14615,1.92372,1.41022,1.29883,0.5774,0.44464,0.43092,0.1626,1.98603,2.52969,1.2685,0.0003862,0.0003862,0.0003862
64,14744.4,1.91324,1.42362,1.30927,0.57154,0.4565,0.44369,0.16805,1.91304,2.42384,1.24335,0.0003763,0.0003763,0.0003763
65,14874.4,1.91744,1.41358,1.30654,0.5857,0.45914,0.45927,0.17844,1.92775,2.49823,1.24678,0.0003664,0.0003664,0.0003664
66,15021.6,1.92194,1.41725,1.29847,0.58526,0.46178,0.45046,0.17227,1.94241,2.36647,1.25115,0.0003565,0.0003565,0.0003565
67,15314.9,1.88478,1.39074,1.28835,0.55982,0.46212,0.43338,0.17075,1.93704,2.5212,1.23332,0.0003466,0.0003466,0.0003466
68,15611.1,1.91438,1.4054,1.29276,0.57647,0.46587,0.45957,0.1791,1.92214,2.2728,1.2312,0.0003367,0.0003367,0.0003367
69,15994.4,1.88733,1.35557,1.2742,0.57329,0.4746,0.46509,0.18695,1.90636,2.22492,1.22018,0.0003268,0.0003268,0.0003268
70,16428.7,1.85891,1.34608,1.26305,0.55964,0.46512,0.46002,0.18499,1.93265,2.40836,1.22218,0.0003169,0.0003169,0.0003169
71,16844.1,1.86961,1.37599,1.28559,0.55997,0.45431,0.42728,0.16453,1.90023,2.25622,1.21192,0.000307,0.000307,0.000307
72,17249.3,1.86889,1.34835,1.27867,0.59982,0.44847,0.45024,0.1785,1.89554,2.57692,1.21616,0.0002971,0.0002971,0.0002971
73,17665.7,1.84396,1.31841,1.25052,0.57219,0.46717,0.46262,0.18034,1.97111,2.49164,1.24419,0.0002872,0.0002872,0.0002872
74,18074.7,1.85297,1.33996,1.26185,0.60951,0.44852,0.46588,0.18478,1.95937,2.16005,1.234,0.0002773,0.0002773,0.0002773
75,18487.7,1.87092,1.34305,1.27051,0.60726,0.45958,0.47702,0.18693,1.96082,2.31687,1.24962,0.0002674,0.0002674,0.0002674
76,18898.9,1.83166,1.29668,1.25558,0.61694,0.46046,0.48043,0.19144,1.98419,2.18837,1.2587,0.0002575,0.0002575,0.0002575
77,19304.2,1.82462,1.31417,1.25372,0.56988,0.4877,0.48038,0.1942,1.91824,2.26477,1.23731,0.0002476,0.0002476,0.0002476
78,19737.5,1.83011,1.29709,1.259,0.61801,0.46353,0.48271,0.19169,1.92946,2.27934,1.2371,0.0002377,0.0002377,0.0002377
79,20166.1,1.79065,1.26929,1.22826,0.61545,0.45299,0.47964,0.19687,1.91238,2.19385,1.21905,0.0002278,0.0002278,0.0002278
80,20561.8,1.82232,1.29368,1.24134,0.59143,0.47496,0.46292,0.18984,1.90999,2.32998,1.21672,0.0002179,0.0002179,0.0002179
81,20876,1.80167,1.26366,1.23321,0.57792,0.48506,0.47522,0.19308,1.89802,2.18046,1.21897,0.000208,0.000208,0.000208
82,21188.6,1.7837,1.26355,1.2312,0.61298,0.45299,0.47289,0.1956,1.89209,2.09297,1.20897,0.0001981,0.0001981,0.0001981
83,21470.3,1.77451,1.24972,1.22595,0.60926,0.45764,0.47659,0.19686,1.89652,2.04285,1.2169,0.0001882,0.0001882,0.0001882
84,21750.1,1.80814,1.26326,1.23044,0.61133,0.47452,0.47289,0.19473,1.90155,2.28431,1.21652,0.0001783,0.0001783,0.0001783
85,22038.4,1.78243,1.25696,1.22862,0.58445,0.49253,0.48415,0.20112,1.88008,2.20528,1.20614,0.0001684,0.0001684,0.0001684
86,22315.5,1.75385,1.23009,1.21232,0.63537,0.46793,0.48367,0.19864,1.90349,2.26311,1.22054,0.0001585,0.0001585,0.0001585
87,22596.3,1.76348,1.2403,1.22027,0.6478,0.47056,0.49725,0.20855,1.86907,2.13839,1.20586,0.0001486,0.0001486,0.0001486
88,22880,1.75493,1.2307,1.21938,0.62227,0.48067,0.4828,0.19923,1.87141,2.15615,1.20748,0.0001387,0.0001387,0.0001387
89,23177.6,1.752,1.21639,1.22175,0.6153,0.487,0.48945,0.20248,1.84307,2.18143,1.1909,0.0001288,0.0001288,0.0001288
90,23468.5,1.74732,1.22158,1.21078,0.63603,0.47144,0.48292,0.20058,1.8378,2.18625,1.19265,0.0001189,0.0001189,0.0001189
91,23616.1,1.60443,1.00064,1.15472,0.58318,0.49547,0.48156,0.19728,1.84385,2.26944,1.20448,0.000109,0.000109,0.000109
92,23723.9,1.5849,0.97995,1.15318,0.59252,0.49077,0.45898,0.18792,1.84246,2.16631,1.20654,9.91e-05,9.91e-05,9.91e-05
93,23903.8,1.55753,0.95191,1.1401,0.57879,0.51098,0.48815,0.20568,1.8314,2.08702,1.20628,8.92e-05,8.92e-05,8.92e-05
94,24120.9,1.55574,0.94948,1.14123,0.5979,0.50305,0.49021,0.20667,1.82524,2.06713,1.20483,7.93e-05,7.93e-05,7.93e-05
95,24335.9,1.54871,0.95014,1.14237,0.584,0.50351,0.47623,0.19658,1.82311,2.03081,1.20426,6.94e-05,6.94e-05,6.94e-05
96,24564.2,1.5275,0.9303,1.13357,0.61363,0.49824,0.49117,0.20878,1.84003,1.99312,1.20176,5.95e-05,5.95e-05,5.95e-05
97,24825.7,1.5388,0.94003,1.1342,0.61709,0.49033,0.49078,0.20892,1.8369,1.99831,1.20003,4.96e-05,4.96e-05,4.96e-05
98,25045.3,1.528,0.92884,1.13082,0.6177,0.50395,0.50069,0.21085,1.82259,1.98756,1.19483,3.97e-05,3.97e-05,3.97e-05
99,25259.1,1.52367,0.91497,1.12982,0.62508,0.50471,0.50484,0.21355,1.82173,1.95861,1.18864,2.98e-05,2.98e-05,2.98e-05
100,25475,1.5168,0.92013,1.12292,0.59807,0.51801,0.5033,0.2117,1.81689,1.91977,1.18733,1.99e-05,1.99e-05,1.99e-05
